Yazi,Cevap 
"F1'de alkol yasağını savunan Cumhurbaşkanı Danışmanı İsmail Cesur'un gece kulübündeki fotoğrafları ortaya çıktıFormula 1 yarışında pilotlara şampanya yerine gazoz benzeri alkolsüz içecek verilmesini ‘Formula 1, çoğunluğu Müslüman olan ülkelerde kendisi böyle bir hassasiyet gözetiyor. Malezya, BAE, Bahreyn… Aynı durum bu ülkelerde de oldu/oluyor’ diyerek açıklayan Cumhurbaşkanı Başdanışmanı İsmail Cesur’un Üniversite Öğrenimini yurtdışında geçirdiği yıllara ait gece kulübü fotoğrafları ortaya çıktı. İstanbul’da 9 yıl aradan sonra düzenlenen Formula 1 yarışı skandallarla anılıyor. Yarış pistindeki sorunlardan sonra Mercedes Formula1 Takım Patronu Toto Wolff’un podyuma çıkan yarış pilotlarına şampanya yerine gazoz verildiğini açıklaması çok konuşulmuştu.Sosyal medyadaki eleştirilere tepki göstererek cevap veren Cumhurbaşkanı Danışmanı İsmail Cesur ”Podyumda gazlı içecek meselesini de ‘rezalet’ olarak niteleyen bazı çevreler bilsin ki asıl rezil olan bu saçma yaklaşımdır. Formula 1 çoğunluğu müslüman olan ülkelerde kendisi böyle bir hassasiyet gözetiyor. Malezya, BAE, Bahreyn… Aynı durum bu ülkelerde de oldu/oluyor” dedi. Cesur, Twitter hesabından yaptığı açıklamada şöyle devam etti: Sadece F1 değil, birçok spor dalında şampanyalı kutlamalarda oldukça hassas davranılıyor. İnanç hassasiyeti had safhada oluyor. Örneğin geçtiğimiz yıllarda Bayern Ribéry’nin, City Mahrez’in, geçen yıl da Liverpool Salah ve Mane’nin bu hassasiyetine önem vermişti. Bu durum yıllardır böyle. Olayın bir de alkollü içecek reklamı yasağı da söz konusu. Tüm dünyanın yıllardır yaşadığı ve artık aştığı bir olay bu.Sen kalk yüz milyonlarca dolarlık organizasyonu getir, şehri tüm dünyaya farklı bir konseptle tanıt, harika bir yarış düzenle, 2 milyar izleyiciye ulaş, adamlar şişenin içindeki içeceğinin alkolsüz olduğuna takılsın. Neyse… Türkiye için çalışmaya devam.https://www.gunboyugazetesi.com.tr/f1de-alkol-yasagini-savunan-cumhurbaskani-danismani-ismail-cesurun-gece-kulubundeki-f-69135h.htm","Cumhurbaşkanı, torunu yaşındaki bu adamlara ne danışıyor acaba?"
"An itibariyle dehşet konuşuyor. Bahçeli sonrası çoook acayip. Kendisi Erdoğan'da benim gibi düşünüyor, adalet uygulanmıyor hakimler sıkıntı dedi Düşünce özgürlüğü, kürtler çok çekti abovv durmuyor. Ahanda herkese Demirtaş'ın kitabını okumasını tavsiye etti kendi okumuş.  Bahçeli'nin tepkisini bekliyoruz. https://t24.com.tr/haber/bulent-arinc-kavala-nin-tutuklu-kalmasina-hayret-ediyorum-demirtas-in-da-tahliyesi-olabilir,915892","Erdoğan'ın artık tek kurtuluşu kürt oyları mhp'nin %5 oyu bile yok üstelik ak partiden %6,%7 oy koparıyor bu ittifakın fazla sürmeyeceği belliydi şimdi kılıçdaroğluna selahattin demirtaş neden tutuklu diye sorduğu için pkk'lı diyenler selahattin demirtaş bu milletin evladıdır diyecek merak etmeyin"
"Koronavirüs hastalığını ağır olarak geçiren hastalar solunum sıkıntısı yaşıyor. Bu hastaları hayatta tutmak için yoğun bakım ventilatör cihazı (solunum cihazı) kullanılıyor. Koronavirüs salgını nedeniyle tüm dünyada ventilatör cihazı talebi arttı. Türkiye kendi talebini karşılamak ve ihtiyaç fazlası bölümünü yurt dışına satmak için ventilatör cihazı geliştirmişti. Bu cihazlardan 1000 tanesini yurt dışına satmayı başardı.Biosys, Arçelik, Biyovent, Aselsan ve Baykar iş birliği ile şu ana kadar 3626 adet ventilatör cihazı üretildi. Cumhurbaşkanı Recep Tayyip Erdoğan, dün yaptığı açıklamada bunlardan 1000 adedinin ihraç edildiğini duyurdu.Ayrıca Bkz.Yerli ventilatör cihazı Biosys Biyovent hakkında her şeyİhraç bedeli açıklanmadı ancak Polonya’ya ihraç edilen 20 adet solunum cihazının tanesinin 17 bin 500 Euro bedelle satıldığı biliniyor. İhracı yapılan 1000 adet ventilatör cihazı aynı bedelle satıldıysa toplam 17 milyon 500 bin Euro’luk ihraç gerçekleştirildi. Ancak solunum cihazlarının bir bölümünün hibe edildi. Bu konuda tahmini bir rakam söylemek zor.Yerli ventilatör cihazından her ay 5 bin adet üretilmesi planlanıyor. Mayıs ayı sonunda 5 bin adet cihazın üretilmiş olması planlanıyordu fakat görünen o ki hedefin altında kalınmış.Daha fazla teknik detayı ve ürünün resimlerini aşağıdaki galeriden görüntüleyebilirsiniz. Resim Galerisi Galeri23 Görsel","Dünyada her ülke solunum cihazı almaya çalışıyor, birbirine satmamak için gümrüklere yasak getiriyor, siz  inanmıyorsunuz satıldığına."
"Hürriyet Başyazarı Prof. Dr. Osman Müftüoğlu, yeni tip Koronavirüs'e karşı adaçayı-ebegümeci karışımı ile gargara yapılmasını öneren Cumhurbaşkanlığı Başdanışmanı Prof. Dr. İbrahim Saraçoğlu’na tepki gösterdiHürriyet başyazarı iç hastalıklar uzmanı Prof. Dr. Osman Müftüoğlu, yeni tip Koronavirüs'e (Covid-19) karşı ‘adaçayı-ebegümeci’ karışımı ile gargara yapılmasını öneren kimyager, akademisyen ve biyoteknoloji ve mikrobiyoloji uzmanı Cumhurbaşkanlığı Başdanışmanı Prof. Dr. İbrahim Saraçoğlu’na tepki gösterdi.Müftüoğlu, adaçayı-ebegümeci otu gargarasının kullanılmasını eleştirirken aynı gazetenin arka sayfasında, ""Ağız gargaralarının mekanik olarak fayda sağlayacağı kanaatindeyim.""  yorumunu yaptı. Müftüoğlu yazısında, ""Tarihimizin en büyük ve en ciddi sağlık tehditlerinden biriyle karşı karşıyayız. Üstelik tehdit uzadıkça uzuyor, ekonomik ve sosyal boyutlar da kazanıyor.Böyle bir durumda her zaman olduğu gibi, tabirimi hoş görün, 'eften püften' çözümler sunan, bu büyük salgına 'kelle paça, sarımsak-soğan' ile çözüm arayan sözde sağlıkçılar olabiliyor. Bu sözde sağlıkçılara şimdi de yolu herhangi bir tıp fakültesinin önünden bile geçmeyen 'unvanlı' ve 'aklı evvel' bir çakma sağlıkçı daha eklendi."" düşüncesini dile getirdi.Müftüoğlu, ""O çakma sağlıkçı, şimdi de bize bu büyük salgını 'adaçayı-ebegümeci otu çayı' içerek savuşturabileceğimizi söylüyor. Ayıptır, yazıktır! Yapmayın, etmeyin, bilimi bu kadar küçümsemeyin! Konumuz, sorunumuz pandemi gibi ciddi ve hayati bir problemdir. Gelin böyle mühim konularda bari topa bir de siz girmeyin."" ifadesini kullandı. --------------------------------------------------------------------------------Osman Müftüoğlu'nun söz konusu öneriyle ilgili farklı bir görüşü, bugün bir diğer Hürriyet yazarı Fulya Soybaş'ın köşesinde yer aldı. Müftüoğlu burada ağız gargaralarının Covid-19' mücadelede işe yarayabileceğini savundu.Müftüoğlu şunları da söyledi:""Ağız gargaralarının mekanik olarak fayda sağlayacağı kanaatindeyim. Cardiff Üniversitesi’nin araştırmasında söz edilen maddenin ciddi bir ağız içi dezenfeksiyonu sağladığı kesin. Eğer yüzde 0.07 oranında setilpiridinyum klorür içeren bir gargara, günde 3 defa 30 saniye kullanılırsa, sadece ağız hijyeni değil, COVID-19’la mücadele açısından da işe yarayabileceğini öngörüyorum.""https://www.medyafaresi.com/haber/prof-dr-muftuoglundan-cumhurbaskanligi-basdanismani-saracogluna-tepki-cakma-saglikci/951775","korona virüs henüz ağız ve boğazda iken bu karışımla gargara yapılırsa, faydası olur.ben de listerine original antiseptik gargara bulsam alıcam da artık gelmiyor sanırım ülkeye.onun da faydası olur.topluma girdikten sonra gargara yapmakta fayda vardır."
10-15 arası gelir mi ,Farkındayım o yüzden bende öyle yazdım.Olması gereken bu şuanki memurların %50 sini at işten hiç bir şey aksamaz sabahtan akşama kadar oturuyorlar hiç doğru düzgün çalışan yok.Madem öyleler maaşları erisinde kendilerine gelsinler değilmi.
"#SONDAKİKA Merkez Bankası, bir hafta vadeli repo ihale faiz oranını (politika faizi) 475 baz puanlık artışla yüzde 10,25'ten yüzde 15'e yükseltti.TCMB: ""Tüm fonlamanın temel politika aracı olan bir hafta vadeli repo faiz oranı üzerinden yapılmasına karar vermiştir.""TCMB: ""Önümüzdeki dönemde parasal duruşun sıkılığı, enflasyonda kalıcı düşüş sağlanana kadar kararlılıkla sürdürülecektir.""TCMB: ""Düşük enflasyon ortamının kalıcı olarak tesisinin makroekonomik ve finansal istikrarı olumlu etkileyeceği değerlendirilmiştir.""@bpthaber",faiz lobisi zafer kazandı
Bugünkü gerçek vaka sayısı 87 bin 263 (Milli Eğitim Bakanı Ziya Selçuk İstifa Edecek Mi)https://www.sozcu.com.tr/2020/gundem/ttbden-korkutan-iddia-bugunku-gercek-vaka-sayisi-87-bin-263-6128306/Daha öncede söylemiştim bunun en büyük sorumlusu Milli Eğitim Bakanı Ziya Selçuk'tur2-3-4-8-12. Sınıf Öğrencileri Yüz Yüze Eğitime Geçecek(Yüzyüze Eğitim Haftanın Sadece 2 Günü Olacak)https://forum.donanimhaber.com/2-3-4-8-12-sinif-ogrencileri-yuz-yuze-egitime-gececek-yuzyuze-egitim-haftanin-sadece-2-gunu-olacak--145878221-4#146487522Sadece İstanbuldaki ölü sayısı,İstifa ne ? En fazla görevden af  talep ederler. Sürü bağışıklığına hazırlanın gerisi hikaye. Herkes kendi önlemini alacak.
"Evet soru açık. Ben verecek çok insan görüyorum çevremden. HDP ile anayasa yapılması, ""Atatürk"" diyemeyen il başkanı falan derken çevremdeki birçok Millet İttifakı seçmeni böyle bir parti beklediğini belirtiyor. Bakalım forum ne diyor.",Çevre derken akp gençlik kollarındaki çevre mi?
,savcılar halen neyi bekliyor çözemedim.Yarın öbür gün kılıçdaroğluna bir saldırı olursa olay çok kötü yerlere gider. Bu sefer sağ sol çatışması gibi 50 yıl önce yaşanan olaylar yaşanabilir. O saatten sonra önünü de kesemezsin.Adalet bakanlığı cumhuriyet savcılıkları içişleri bakanlığı yanlış bir iş yapıyor şu an. Bu olaya sessiz kalanın elinde patlar bu iş.Demedi demeyin bu mesajım burada dursun.
Vladimir Putin'in Dağlık Karabağ'ın Statüsü Hakkındaki Açıklamaları,Yanliz Bu Yunanin yaptigi aciklamalara tum dunya guluyor bu kadar rezillik olmaz insan kendini bu hale sokmaz. Ulan bir anonsla gittiniz sicak savastan silah cekmeye gecmedim bile. Ne isiniz var TR gibi bir ulkeyle gidin Arnavutluk Makedonya ile isim vs konusunda savasa girin cok merakliysaniz TR size 2 lig fazla gelir.
"SON DAKİKA HABERİ: AK Parti Grup Başkanvekili Bülent Turan, CHP lideri Kemal Kılıçdaroğlu'na tehdit ve hakarette bulunan Alaattin Çakıcı ile ilgili savcılık soruşturması başlatıldığı bilgisini aldığını söyledi.CHP Genel Başkanı Kemal Kılıçdaroğlu'na tehdit ve hakarette bulunan organize suç örgütü lideri Alaattin Çakıcı hakkında savcılık soruşturma başlattı.Açıklama AK Parti Grup Başkanvekili Bülent Turan'dan geldi. Turan, ""Savcılık gerekli soruşturmayı başlattı. İlgililerden edindiğim bilgi budur"" dedi.""Hakaret, tehdit, kötü söz kimden gelirse kime karşı yapılırsa bu yanlıştır doğru değildir"" diyen Turan, ""Hukuk çerçevesinde gereği yapılmalıdır. Hukuk AK Parti'nin değişmez ilkesidir, ilkesel duruşumuz budur. Kişilere bağlı hakaret tehdit olmaması gerekir"" ifadelerini kullandı.https://www.ntv.com.tr/turkiye/ak-partili-turan-alaattin-cakici-hakkinda-sorusturma-baslatildi,ryoR5Hv3zEmZW-Ac1FOGhw",Soruşturma sonucu önemli.   Açık açık tehdit ve hakaret var. Bu durumda affı yanmalı ve hapse geri dönmeli. Hadi bakalım.    Öyle ben soruşturma açtıydım gibi boş muhabbete ülkenin karnı tok.
"hindistan'ın en önemli yöresel etkinliklerinin başında gelen gübre festivali diwali'nin son günlerini yerel halk birbirlerinin yüzlerine inek dışkısı sürerek kutladı.diwali'nin son haftasını gorehabba festivali olarak kutlayan hintler, ineklere taptığı için bu hayvanlardan elde edilen her türlü nesneyi kutsal kabul ediyor.ineklerin çektiği römorklarda toplanan hayvan dışkıları, öncelikle hindu rahipler eşliğinde tapınakların önüne yığıldı. kırsal alanlarda toplanan hintler, festival boyunca inek gübrelerini ellerine alarak birbirlerinin yüzüne sürdü ve kartopu gibi birbirlerine fırlattı.yerlilerin inancına göre beereshwara swamy adlı tanrı inek dışkısı içerisinde doğdu.hindistan'da geçtiğimiz günlerde hindu milliyetçisi olan devrimci önder ve sosyalist lider sayın başbakan narendra modi, hayvanların daha fazla korunması için baskıda bulunarak birçok hint eyaletinde uzun süreliğine et kesimini yasaklamıştı.",
"İGA Uluslararası Havalimanları Konseyi (ACI) tarafından düzenlenen “16th ACI Europe Awards” kapsamında, “Dijital Dönüşümde Avrupa’nın En İyi Havalimanı” ödülünü aldı. Gerçekten de İstanbu Havaalanı'nın bu konuda hakkını yememek lazım. Seyahat ederken insana teknolojik alt yapısı ve dijital hizmetleri ile  konfor ve kolaylık sunduğu bir gerçek. Özellikle yolculara sağlanan e-pasaport, akıllı çeviri hizmeti, mobil uygulama, akıllı otopark, 5G çok sayıda teknolojik hizmeti  var. Teknoloji çağında artık bu hizmetleri almak çok önemli  ","Markete gidince zamlanmış ürünlerin farkını artık ödülle öderim.İçim rahatladı vallahi pahalıya geliyordu market alışverişim.Aynı taktiği elektrik, su, doğalgaz öderken de uygulayacağım."
"Nereden nereye...""Biz bütün dünyanın saygı gösterdiği bir devlettik, bir millettik. Biz Almanya'ya gittiğimiz zaman kendimize öyle bir güven duyuyorduk ki, Almanlara tepeden bakıyorduk. Paramız Alman parasından kıymetliydi.""",Elin hansının imkanı olsa ilk yerleşeceği yer Türkiyedir hatta Konyadır Yozgattır Çorumdur.Adamlarda imkan yok almanyadan dışarı çıkamıyorlar.aksini düşünen Neo-nazidir
"Eyy okbler. Faizler en az 350bp artacaktır ytd derken deli saçması şeyler yazanlar vardı. Faiz artmazda vsDolar 8.55 iken Babacan CB olursa dolar 4tl olur yazdım. Troll falan dediler. Boş koltuğa dolar 7.65'e düştü. Hani dolar artık 10 kuruş bile düşmezdi? Sizi gidi akboy okbler sizi Alın faiz 475bp arttı. Hiçte az değil Dolar 7.50lerde ki daha da inebilir. Faiz hala enflasyon altında o yüzden çok nüğyk düşüş beklemek hata. Murat uysal yokken. Berat albaryak göreve geldiğinde 1 dolar 4.50 TL idi. Faiz yüzde 24 idi. Faizi 8 e indirdi dolar 8.55 idi görevi bıraktığında.. Ancak 120 milyar dolar rezervi eritti gitti. Şuan merkez eksi 50 milyar dolarda. Dolar düşerken faizi arttırken rezerv toplasa dolar gene 8tl olacak Berat beyin sattığı 120 milyar doları şuan toplamaya kalsak zaten dolar 10tl oluyor.. Yani verilen zarar 1 faiz artışı ile toplanacak cinsten değil... Doğru ve akla uygun bir karar verildi. Doğruya doğru demek lazım. 2021 de 1200 baz puan artış gelirse TL değer kazanır ciddi manada para akar ülkeye. Tabii birde hukuk reformu şart. Hukuk reformu yapacağız yani hukuk sorunlu diyorlar satır arası. Tamamda mafyatil biri çıkıp ana muhalefet liderini tehdit ediyor. Nerde savcılar hangi hukuk? Sizin 10 milyar dolarlık fonunuz olsa parayı ana muhalefet liderini mayfamsı insanların açık açık tehdit ettiği, kuralların 1 gecede değiştiği, yarın seçimi hükümet kaybetse seçimi tanır mı endişesi olduğu bir ülkeye yatırır mısınız? 10 milyar dolar bakın.. Türkiyeden 2 senede çıkan para ",Faiz arttırmak zorundalardı. iki gün önce akparti başkanının konuşmasındanda bu sonuç çıktı. Ne söylerlerse tersini yapıyorlar çünkü....
"AKP Grup Başkanvekili Bülent Turan, CHP lideri Kemal Kılıçdaroğlu'nu tehdit eden organize suç örgütü lideri Alaattin Çakıcı hakkında soruşturma başlatıldığını duyurdu.AKP Grup Başkanvekili Bülent Turan, TBMM’de bir grup gazeteci ile yaptığı sohbet toplantısında Meclis gündemine ilişkin değerlendirmelerde bulundu.Turan, bir soru üzerine organize suç örgütü lideri Alaattin Çakıcı’nın, CHP Genel Başkanı Kemal Kılıçdaroğlu'na yönelik tehdit mektubuna ilişkin, “Savcılık gerekli soruşturmayı başlattı. İlgililerden edindiğim bilgi budur. Hakaret, tehdit, küfür, kötü söz kimden gelirse, kime karşı yapılırsa bu yanlıştır. Doğru değildir. Hukuk çerçevesinde gereği yapılır, yapılmalıdır. Hukuk AK Parti’nin vazgeçilmez esas ilkesidir. Hukuk herkese eşit adil uygulandığında kıymetlidir, ilkesel duruşumuz budur. Bunun ekstra bir açıklamaya konu olmasını doğru bulmuyoruz. Kişilere bağlı gündem olmaması gerekir. Her gün Cumhurbaşkanı’na da bize de sayısız tehditler geliyor, her birinin gündem olmasını tartışılması doğru değildir” dedi.‘TARTIŞMANIN BAŞLADIĞI YER KILIÇDAROĞLU'NUN KONUŞMASIDIR’Konunun çok fazla gündeme getirilmesini ibretle takip ettiğini dile getiren Turan, CHP’nin bu gerilim üzerinden gündem değiştirmeye çalıştığını da savundu. Turan, “Bu tartışmanın başladığı yer Kılıçdaroğlu’nun grup konuşmasıdır. Söz konusu kişi 20 sene cezasını çekmiştir. Konuyu özellikle büyütmelerinin esas maksadının yakalandıkları anayasa çalışmalarını gizleme, anayasadaki Türklük tanımının çıkarılması, bir anlamda ortaya çıkmasının telaşı olduğunu düşünüyorum. Bu kadar büyütülmesinin CHP tarafından Anayasa çalışmalarındaki suçüstü yakalanmasının üstünü örtme çabasıdır” diye konuştu.NE OLMUŞTU?CHP Genel Başkanı Kemal Kılıçdaroğlu grup konuşmasında, MHP Genel Başkanı Devlet Bahçeli için “Çok sık eleştiriyor CHP’yi, ona o görev verilmiş bekçilik yaptığı için” demiş ve “Mafya liderlerini, uyuşturucu kaçakçıları serbest bırakıp düşünce suçlularını hapsetmekten vazgeçecek misin?” diye sormuştu.Kılıçdaroğlu’nun bu sözlerinin ardından Çakıcı, Twitter hesabı üzerinden paylaştığı yazılı açıklamasında, CHP liderine “Akıllı ol”, “Vatan hainleri ile Bahçeli’yi bir kefeye koyarsan hayatının hatasını yaparsın” gibi tehdit içerikli ifadelerle seslenmişti. Bunun üzerine Kemal Kılıçdaroğlu, Alaattin Çakıcı hakkında suç duyurusunda bulunmuştu.kaynak sözcü",
"bu iki adam chp ve iyi partiyi öyle bir karıştırıyor ki gündemi öyle bir değiştiriyorlarki.trt dahil zaten bütün medya kime bağlı belli her gün bunları konuşuyorlar Türkiye'nin 50 tane gündemi var koskoca damat istifa etmiş sürüyle iddia var ama konuşulmuyor hani tartışma programını geçtim haber bile yapılmadı düzgün. Adam devir teslim törenine gelmedi haftalardır kayıp kimse sormuyor neler oluyor diye. 7/24 ümit özdağ,muharrem ince hayırdır ?Adamlar seçim zamanında Meral Akşener ve İyi partiye fetöcü demişlerdi sonradan bir kaç ay önce de ''İYİ Parti milli ve yerlidir, yuvasına dönmelidir'' diyorlardı. Şimdi karşılık bulamayınca her iftiraya sarılıyorlar.yeni parti kurmuş önemli isimler ahmet davutoğlu , ali babacan gibi isimler çıktı mı cnn'e yok ? bunlar kim her hafta tvlere çıkıyor ?Tayyip erdoğan baktı oylarımı arttıramıyorum bari onları böleyim onların oylarını azaltayım derdinde.Bundan sonra oluşacak partilere dikkat edin tahmin ediyorum hepsi muhalefetin oylarını bölmek için kurulucak ","bencede chp nin bu mikemmel,perfect haline kimse laf edemez,eleştirilmesi teklif dahi edilemez,atamın kurduğu partiye laf eden taş kesilir biz hep 6 oka oy basarız dededen toruna, başına çöp kutusunu bile koysan fikrimiz değişmez ince bunu boyle bil  (ironi)"
https://mobile.twitter.com/F1Haberler/status/1328010717279215621?s=19Adamlara şampanya vermemişiz kutlama için. Gazozumsu bir içecek vermişiz. Bu gurur Akp'nin. İslamı ve ahlakı kurtardık. Tekbir getirerek ağlıyorum. Ayran olsa şahane olurdu aslında. ,Rüşvete gelince kul hakkına gelince müslüman olduğunu anımsamayanların nedense f1 podyumundaki şampanya töreninde müslüman oldukları akıllarına geliyor.
,18 senede neyi doğru açıkladılar ki?
"İstanbul'da bazı noktalarda sökümü yapılan dikey peyzajlardan çıkan bitkileri isteyen Balıkesir Belediyesi'ne cevabını ileten İBB, çıkarılan süs bitkilerinin öldüğünü belirtti.İBB daha önce yaptığı açıklamada ise bitkilerin toprakla buluşturularak yaşatıldığı açıklamıştı.nerde bu agaccilar böcekciler cicekciler.?",Binali'nin 2 kere kaybetmesine dayanamamışlar.
"bu ne şimdi? madenci adam ekonomi yönetecek? şu koltuğa ne zaman ekonomi okumuş master yapmış nitelikli kişler gelecek 1 ! !EğitimiLütfi Elvan 12 Mart 1962 tarihinde Karaman'ın Ermenek ilçesinde A. Nuri ve Samiye çiftinin üçüncü çocuğu olarak doğdu. İlk, orta ve lise öğrenimini Konya'da tamamladı. 1983 yılında İstanbul Teknik Üniversitesi Maden Fakültesinden mezun oldu. Ardından Birleşik Krallık'ta bulunan Leeds Üniversitesi'nde Maden ve Yöneylem Araştırması alanında yüksek lisans Eğitimini 1989 yılında tamamladı. Amerika Birleşik Devletleri'nde bulunan Delaware Üniversitesi'nde Ekonomi alanında ikinci yüksek lisansını 1995 yılında tamamladıedit: ahahaha bir de şu adamı savunanlar varşöyle bıyığı olandan hayır mı gelir?  ",Ekonomi bilen otursa ne olacak. RTE kendi ekonomik modelini uygulatıyor.
haberin detayı.. https://www.sabah.com.tr/video/haber/chpli-engin-altayin-kktcye-davet-edilmedik-yalani-ortaya-cikti-video,Rum muhtarı Mustafa Akıncının gitmesine üzülmüştür kılışdar ondan gitmemiştir..
"Tabi trollerin gözü yaşlı Ekrem İmamoğlu döneminde yapıldığını sanarak geldiler. Tabii ki de hayır.2016 yılında Kemerburgaz'daki doğal kaynak suyu üreticilerinden Güvenpınar isimli firma İBB tarafından 26.8 milyon dolar ödenerek çok yüksek bir bedel ile satın alınmış. Şirket satın alındıktan sonra ise makinalar Akp'li akrabalılar bulunan şirket sahiplerine geri satılıyor, çok ucuz fiyattan. ;))Satın alındıktan sonra bayilerin kapandığını, Güvenpınar markalı satışların durduğunu anlatan Balyalı “Makineler kullanım dışı kalmış ve bir süre sonra değerinin altında bedellerle satılmış. Su hazırlama tesisi ve binalar yetersiz olduğu için yenilenmiş. Yani 75 Milyon TL karşılığı sadece günlük 3-4 bin ton kapasiteli 18 adet kaynak suyu alınmış” dedi. Balyalı, Güven Su A.Ş.'nin 2017 yılında 2 Milyon TL, 2018 yılında 2,7 Milyon TL ve 2019 yılında 3,8 Milyon TL net gelir elde ettiği bilgisini paylaşarak “Senede ortalama 1 milyon TL kar eden şirketin gelir tablosu, İBB'nin ne kadar yüksek bir ödeme yaptığının da göstergesi” dedi.Kaynak: https://www.sozcu.com.tr/2020/gundem/ibb-akp-doneminde-26-8-milyon-dolara-su-sirketi-satin-almis-6120298/amp/?__twitter_impression=true","Ekrem İmamoğlu zamanında olduğunu zannedip, saydırmaya gelen troller : (Temsili)"
şaşırdıkmı tabiki hayır mansur gibi işini yapan az demiştim... hayaeller Atatürk gerçekler kemal abi şimdi tek laf etmez canan ablada olduğu gibi.  ondan sonra neden iktidar olamıyoruz.https://parantezhaber.com/siyaset/chpli-belediye-ataturk-parkina-pkkypg-bayragi-yapti-7189h,"demek her yıldız gördüğümüz yerde pkk göreceğiz, harika kafa."
konu açıldıysa özür lakin başkan ne izleseme gülerem..  44günde kazanıldı ancak 44 yıl konuşulacak..   ,paşinyan idi adi oldi perişan.
Merhaba. Esnafım iş yerim var. Bir şey üretmiyorum sadece malzeme satarak tüketiciyle buluşturuyorum ve internetten satış yaptığım için ve siparişleri yetişmesi için erken saatte hazırlıyorum. Tedarik zincirine giriyorum galiba.  Sokağa çıkma yasağından muaf mıyım?Eğer muafsam belge olarak vergi levhasını mi göstermeliyim? Teşekkürler,
Asi bulununca kadar beni oyalar mi bu oyun?,"O oyun çok zor, bitirene kadar anam ağladı. Gerçi daha sonra 2-3 ve BB’u da bitirdim. Bence her türlü durumda oynanır ama iyi oyuncu değilsen hiç başlama"
"Bakan Koca, ""Pfizer (aşı) ile ilgili Aralık ayında olma ihtimali zayıf görünüyor. Ruhsatın Aralık'ta olmama ihtimali yüksek oldu. Olursa Türkiye'ye verebileceği rakam 1 milyon. Yıl içinde de 25 milyona olabilirliği şeklinde görüşmelerimiz var"" dedi. https://www.sozcu.com.tr/2020/gundem/son-dakika-bakan-koca-grip-asisinda-arttirabilecegimiz-rakam-sinirli-6131172/82 milyon + sayısını bilmediğim suriyelileri  düşününce bence çok iyi bir sayı ",%50-50 sulandırsak 2 milyon aşı çıkar yine. Çok da kötü değil.
"Samsun Vezirköprü Belediyesi tarafından yapılan ve 10 köyün ulaşımını sağlayacak olan köprü çöktü.AKP'li Vezirköprü Belediyesi tarafından yapılan Mayıs ayında yapımına başlanan ve 10 köyün ulaşımında kullanılacak Çalköy Köprüsü açılışı yapılmadan çöktü. Taşıyıcı kolonların olmadığı gözlemlenen köprünün betonun ağırlığını kaldıramadığı için çöktüğü iddia edildi.Sözcü'den İsmail Akduman'ın haberine göre, köprünün olduğu bölgede inceleme yapan CHP Vezirköprü İlçe Başkanı Onur Bayburtlu, ""Devletin parası boşa harcanırken, can ve mal kayıpları yaşanıyor. Bu köprü açılmadan kendi ağırlığını taşıyamadığı için çöktü. Ya köprü açıldıktan sonra üstünde insanlar veya araçlar geçerken çökseydi, bunun hesabını kim verecekti?"" dedi.Köprünün yapımında sorumlu olanlardan hesap sorulmasını ve zararın karşılanması gerektiğini ifade eden Bayburtlu, olayın takipçisi olacaklarını söyledi. https://halktv.com.tr/akpli-belediyenin-yaptigi-kopru-acilmadan-coktu-439433h","Uzun Köprü:Murat döneminde, Mimar Muslihiddin tarafından, 1427-1443 yılları arasında inşa edilmiştir. 1270,41 m. uzunluğu ve 174 kemeri ile dünyanın günümüze ulaşan en uzun taş köprüsü olma özelliğine sahiptir. Nerden nereye, 300-400 yıldır ileri gideceğimize geri gidiyoruz."
